No,Category,Issue,Platform,Description,Do,Don't,Severity
1,Accessibility,color-contrast,All,"Minimum contrast ratio for text is 4.5:1 for normal text, 3:1 for large text (WCAG AA). Use contrast checker tools.","Use #000000 on #FFFFFF (21:1) or #1E293B on #F8FAFC (12:1). Check with WebAIM contrast checker.","Use #94A3B8 (slate-400) on #FFFFFF (3.4:1 - fails) or light grey text on white backgrounds.",CRITICAL
2,Accessibility,focus-states,All,"All interactive elements must have visible focus indicators for keyboard navigation. Focus ring should be clearly visible.","Use ring-2 ring-offset-2 ring-blue-500 in Tailwind. Make focus state 3px+ with high contrast color.","Remove focus outlines with outline-none without providing alternative focus styles.",CRITICAL
3,Accessibility,alt-text,All,"All meaningful images must have descriptive alt text. Decorative images should use empty alt or role='presentation'.","<img alt='Team meeting in conference room discussing Q4 strategy' src='meeting.jpg'>","<img alt='image' src='meeting.jpg'> or <img src='meeting.jpg'> without alt attribute.",CRITICAL
4,Accessibility,aria-labels,All,"Icon-only buttons and links must have aria-labels describing their action for screen reader users.","<button aria-label='Close dialog' onClick={handleClose}><XIcon /></button>","<button onClick={handleClose}><XIcon /></button> without any accessible label.",CRITICAL
5,Accessibility,keyboard-nav,All,"All interactive elements must be keyboard accessible. Tab order should match visual order. No keyboard traps.","Use tabindex='0' for custom interactive elements. Test with Tab key navigation.","Use tabindex='-1' on focusable elements or create mouse-only interactions.",CRITICAL
6,Accessibility,form-labels,All,"All form inputs must have associated labels using the 'for' attribute or be wrapped in label elements.","<label for='email'>Email Address</label><input id='email' type='email'>","Use placeholder text as the only label: <input placeholder='Email'> without associated label.",CRITICAL
7,Touch,touch-target-size,Mobile,"All touch targets must be at least 44x44px (WCAG 2.1). Smaller targets cause frustration and errors.","Use min-h-11 min-w-11 (44px) for buttons. Add padding to increase hit area.","Use small buttons like text-xs with p-1 (often <30px total).",CRITICAL
8,Touch,hover-vs-tap,Mobile,"Avoid hover-dependent interactions on mobile. Use click/tap for primary actions. Hover states may not translate.","Use onClick handlers for primary actions. Show mobile-specific states with @media (hover: none).","Use :hover for critical information or actions that only appear on hover.",CRITICAL
9,Touch,loading-buttons,All,"Disable interactive elements during async operations to prevent double-submission and show loading state.","<button disabled={isLoading}>{isLoading ? 'Saving...' : 'Save'}</button>","Leave buttons clickable during async operations without feedback.",CRITICAL
10,Touch,error-feedback,All,"Show clear error messages near the problem field. Don't rely on color alone. Provide suggestions for fixing.","<input aria-invalid='true' aria-describedby='email-error' /><span id='email-error'>Please enter a valid email</span>","Use only red border color to indicate errors without text explanation.",CRITICAL
11,Touch,cursor-pointer,All,"All clickable/hoverable elements must have cursor-pointer to indicate interactivity.","Add cursor-pointer class to cards, buttons, links, and any clickable elements.","Leave default cursor on clickable cards, menu items, or interactive elements.",CRITICAL
12,Performance,image-optimization,Web,"Use modern image formats (WebP, AVIF), implement lazy loading, and provide srcset for responsive images.","<img src='hero.webp' srcset='hero-400.webp 400w, hero-800.webp 800w' loading='lazy' alt='...'>","Use unoptimized PNG/JPG files >500KB without lazy loading or responsive srcset.",HIGH
13,Performance,reduced-motion,All,"Respect prefers-reduced-motion media query for users who prefer reduced motion.","@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important; } }","Always animate regardless of user preferences. No reduced-motion fallback.",HIGH
14,Performance,content-jumping,All,"Reserve space for dynamic content to prevent layout shift. Use aspect-ratio or explicit dimensions.","<div class='aspect-video'><img src='video-thumb.jpg' alt='...'></div>","Load images without dimensions causing Cumulative Layout Shift (CLS).",HIGH
15,Layout,viewport-meta,Mobile,"Always include viewport meta tag with width=device-width and initial-scale=1 for proper mobile rendering.","<meta name='viewport' content='width=device-width, initial-scale=1'>","Omit viewport meta tag or use fixed width like width=1200.",HIGH
16,Layout,readable-font-size,Mobile,"Body text should be at least 16px on mobile to prevent iOS zoom on focus and ensure readability.","Use text-base (16px) or text-lg (18px) for body text on mobile.","Use text-sm (14px) or text-xs (12px) for body text on mobile.",HIGH
17,Layout,horizontal-scroll,All,"Ensure content fits viewport width. No horizontal scrolling on mobile devices.","Use max-w-screen overflow-x-hidden or responsive containers.","Allow content to overflow horizontally on mobile, creating horizontal scroll.",HIGH
18,Layout,z-index-management,All,"Define a consistent z-index scale to prevent stacking context issues and overlapping elements.","Define z-index layers: 10 (dropdowns), 20 (sticky), 30 (modals), 40 (popovers), 50 (toolties).","Use random z-index values like z-999 or z-[9999] without a defined scale.",HIGH
19,Typography,line-height,All,"Use line-height of 1.5-1.75 for body text to ensure readability. Tighter for headings.","body { line-height: 1.6; } h1, h2, h3 { line-height: 1.2; }","Use line-height: 1 for body text (too tight) or line-height: 2.5 (too loose).",MEDIUM
20,Typography,line-length,All,"Limit line length to 65-75 characters for optimal readability. Use max-width constraints.","max-w-prose or max-w-2xl (672px) for content containers.","Allow text to span full screen width (150+ characters per line).",MEDIUM
